zip_code,median_household_income,vehicle_count,P1_001N,vehicle_per_person
99123,54493.0,6.0,1063.0,0.005644402634054563
99124,46875.0,1.0,244.0,0.004098360655737705
99125,44875.0,3.0,495.0,0.006060606060606061
99126,62672.0,8.0,900.0,0.008888888888888889
99129,37019.0,0.0,808.0,0.0
99130,59444.0,5.0,805.0,0.006211180124223602
99131,60179.0,2.0,144.0,0.013888888888888888
99133,41319.0,8.0,1476.0,0.005420054200542005
99134,35333.0,3.0,598.0,0.005016722408026756
99135,60000.0,2.0,288.0,0.006944444444444444
99136,32500.0,0.0,24.0,0.0
99137,36250.0,2.0,391.0,0.005115089514066497
99138,39107.0,2.0,1212.0,0.0016501650165016502
99139,65673.0,3.0,1178.0,0.0025466893039049238
99140,33958.0,0.0,479.0,0.0
99141,54957.0,34.0,5737.0,0.005926442391493812
99143,33229.0,1.0,602.0,0.0016611295681063123
99144,34583.0,0.0,26.0,0.0
99146,17292.0,0.0,81.0,0.0
99147,70208.0,4.0,236.0,0.01694915254237288
99148,60195.0,20.0,2324.0,0.008605851979345954
99149,37917.0,1.0,219.0,0.0045662100456621
99150,36125.0,0.0,373.0,0.0
99151,41058.0,0.0,215.0,0.0
99152,57188.0,1.0,177.0,0.005649717514124294
99153,37098.0,0.0,499.0,0.0
99154,104375.0,0.0,24.0,0.0
99155,30956.0,1.0,1257.0,0.0007955449482895784
99156,59333.0,50.0,8478.0,0.005897617362585515
99157,36131.0,1.0,683.0,0.0014641288433382138
99158,58846.0,5.0,595.0,0.008403361344537815
99159,53242.0,9.0,1424.0,0.006320224719101123
99160,22639.0,1.0,86.0,0.011627906976744186
99161,76625.0,27.0,1450.0,0.018620689655172412
99163,33977.0,329.0,34416.0,0.00955950720595072
99166,43730.0,12.0,3011.0,0.003985386914646297
99167,56818.0,4.0,794.0,0.005037783375314861
99169,52827.0,24.0,2487.0,0.009650180940892641
99170,54063.0,11.0,1135.0,0.009691629955947136
99171,57917.0,2.0,975.0,0.0020512820512820513
99173,43627.0,5.0,1892.0,0.002642706131078224
99176,44821.0,0.0,169.0,0.0
99179,71375.0,4.0,541.0,0.0073937153419593345
99180,47583.0,2.0,926.0,0.0021598272138228943
99181,52802.0,9.0,2057.0,0.004375303840544483
99185,71477.0,7.0,1374.0,0.005094614264919942
99201,27398.0,172.0,15716.0,0.010944260626113514
99202,47102.0,188.0,21969.0,0.008557512859028631
99203,78655.0,500.0,21072.0,0.02372817008352316
